date,year,doy,tree_type,site,plot,plottag,species,dbh,kgc,basal_area
1993-07-01,1993,182,live,ems,C1,C1-217,hem,25.58,89.52,513.91
1993-07-01,1993,182,live,ems,C1,C1-351,hem,18.4,40.1,265.9
1993-07-01,1993,182,live,ems,C1,C1-356,ro,34.3,357.13,924.01
1993-07-01,1993,182,live,ems,C1,C1-362,ro,40.5,531.24,1288.25
1993-07-01,1993,182,live,ems,C1,C1-366,ro,33.6,339.96,886.68
1993-07-01,1993,182,live,ems,C2,C2-380,rm,21.1,92.19,349.67
1993-07-01,1993,182,live,ems,C2,C2-386,ro,37.1,430.8,1081.03
1993-07-01,1993,182,live,ems,D1,D1-529,rm,21.5,96.32,363.05
1993-07-01,1993,182,live,ems,D1,D1-544,ro,28.3,225.55,629.02
1993-07-01,1993,182,live,ems,D2,D2-288,hem,13.08,17.49,134.37
1993-07-01,1993,182,live,ems,D2,D2-583,rm,19.7,78.57,304.81
1993-07-01,1993,182,live,ems,E1,E1-677,hem,22.5,65.47,397.61
1993-07-01,1993,182,live,ems,E1,E1-678,hem,13.4,18.55,141.03
1993-07-01,1993,182,live,ems,E5,E5-876,hem,30.2,134.3,716.31
1993-07-01,1993,182,live,ems,E5,E5-880,ro,31.7,295.8,789.24
1993-07-01,1993,182,live,ems,E5,E5-889,hem,23.5,72.79,433.74
1993-07-01,1993,182,live,ems,E5,E5-892,rm,19.1,73.1,286.52
1993-07-01,1993,182,live,ems,E5,E5-893,hem,22.1,62.66,383.6
1993-07-01,1993,182,live,ems,E5,E5-895,rm,19.9,80.44,311.03
1993-07-01,1993,182,live,ems,E5,E5-903,ro,23.4,143.18,430.05
1993-07-01,1993,182,live,ems,E5,E5-905,hem,18.5,40.63,268.8
1993-07-01,1993,182,live,ems,F1,F1-933,rm,16.2,49.81,206.12
1993-07-01,1993,182,live,ems,G1,G1-153,rm,11,20.21,95.03
1993-07-01,1993,182,live,ems,G1,G1-165,rm,13.9,34.86,151.75
1993-07-01,1993,182,live,ems,G1,G1-175,ro,24.5,159.8,471.44
1993-07-01,1993,182,live,ems,G1,G1-176,rm,13,29.83,132.73
1993-07-01,1993,182,live,ems,H1,H1-302,ro,36.3,408.93,1034.91
1993-07-01,1993,182,live,ems,H1,H1-309,ro,32.9,323.27,850.12
1993-07-01,1993,182,live,ems,H1,H1-318,rm,19.5,76.72,298.65
1998-05-26,1998,146,live,ems,C1,C1-217,hem,27.46,106.45,592.23
