SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
08/05/2021 08:52:24.419, 08/05/2021 08:52:24.356, 4.16115e+0, 0.00000e+0, -2.11224e+2, 0.00000e+0, 1.86092e+0, 0.00000e+0, 1.31155e+4, 0.00000e+0, 4.09347e+2, 0.00000e+0, 9.42825e-1, 0.00000e+0, 2.07394e+2, 0.00000e+0, 4.98517e+2, 0.00000e+0, 1.98959e+1, 0.00000e+0, 2.09740e+1, 0.00000e+0, 2.77636e+0, 0.00000e+0, 2.75066e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/05/2021 08:52:29.387, 08/05/2021 08:52:29.330, 4.16126e+0, 5.43670e-5, 9.84021e+1, 8.09033e-3, 1.86848e+0, 2.24698e-3, 1.41426e+4, 1.67961e+2, 4.15724e+2, 1.18977e+0, 1.89528e+0, 2.00049e-3, 4.21688e+2, 1.19157e+0, 4.98278e+2, 7.08195e-1, 1.98780e+1, 1.79897e-2, 2.10089e+1, 1.68289e-2, 2.77670e+0, 2.70366e-4, 2.75120e+0, 3.75796e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/05/2021 08:52:34.355, 08/05/2021 08:52:34.302, 4.16134e+0, 2.78757e-5, 9.84141e+1, 4.14817e-3, 1.87980e+0, 2.58855e-3, 1.42317e+4, 2.22821e+2, 4.17083e+2, 5.81314e-1, 1.90694e+0, 3.03091e-3, 4.23104e+2, 5.85185e-1, 4.98704e+2, 6.87250e-1, 1.98959e+1, 1.07205e-2, 2.10519e+1, 1.35115e-2, 2.77622e+0, 6.67121e-4, 2.75067e+0, 5.73175e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/05/2021 08:52:39.382, 08/05/2021 08:52:39.276, 4.16136e+0, 3.73103e-5, 9.84164e+1, 5.55212e-3, 2.01422e+0, 1.72692e-1, 1.43063e+4, 1.84467e+2, 4.16328e+2, 1.76711e+0, 2.04345e+0, 1.75178e-1, 4.22371e+2, 1.83643e+0, 4.98258e+2, 1.81966e+0, 1.99013e+1, 1.54752e-3, 2.10865e+1, 7.50626e-3, 2.77626e+0, 1.31274e-3, 2.75028e+0, 2.28167e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/05/2021 08:52:44.303, 08/05/2021 08:52:44.247, 4.16137e+0, 2.97044e-5, 9.84188e+1, 4.42029e-3, 3.52181e+0, 4.68281e-1, 1.43270e+4, 2.43493e+2, 4.20479e+2, 2.72070e+0, 3.57299e+0, 4.74970e-1, 4.26591e+2, 2.81498e+0, 4.98305e+2, 8.58735e-1, 1.99076e+1, 1.00134e-2, 2.11114e+1, 1.12111e-2, 2.77744e+0, 1.16016e-3, 2.75029e+0, 3.37520e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/05/2021 08:52:49.302, 08/05/2021 08:52:49.228, 4.16152e+0, 2.23372e-5, 9.84405e+1, 3.32399e-3, 2.94671e+0, 4.34104e-1, 1.45313e+4, 5.22088e+1, 4.31208e+2, 1.86659e+0, 2.99015e+0, 4.40364e-1, 4.37566e+2, 1.91192e+0, 4.98714e+2, 1.76435e+0, 1.98881e+1, 5.38149e-3, 2.11673e+1, 1.88632e-2, 2.77710e+0, 6.01156e-4, 2.75004e+0, 6.98776e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/05/2021 08:52:54.275, 08/05/2021 08:52:54.200, 4.16154e+0, 4.53169e-5, 9.84439e+1, 6.74359e-3, 2.10439e+0, 1.26867e-1, 1.47494e+4, 5.56241e+1, 4.26469e+2, 3.22610e+0, 2.13590e+0, 1.28761e-1, 4.32854e+2, 3.26984e+0, 4.98091e+2, 1.37521e+0, 1.98849e+1, 3.89381e-3, 2.12256e+1, 1.90668e-2, 2.77598e+0, 5.12808e-4, 2.74945e+0, 4.22913e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/05/2021 08:52:59.231, 08/05/2021 08:52:59.172, 4.16157e+0, 4.15410e-5, 9.84480e+1, 6.18169e-3, 1.91192e+0, 1.90273e-2, 1.47615e+4, 1.05590e+2, 4.20564e+2, 1.45000e+0, 1.94056e+0, 1.93050e-2, 4.26865e+2, 1.48798e+0, 4.98488e+2, 5.91788e-1, 1.98906e+1, 2.46243e-2, 2.12823e+1, 1.49960e-2, 2.77564e+0, 2.49018e-4, 2.74947e+0, 4.08337e-4, 2.00000e+1, 0.00000e+0, 1.44000e+1, 3.13050e+0, 3, 1, 
08/05/2021 08:53:04.208, 08/05/2021 08:53:04.145, 4.16164e+0, 3.19471e-5, 9.84587e+1, 4.75404e-3, 1.86931e+0, 1.29213e-2, 1.48853e+4, 8.54507e+1, 4.13165e+2, 3.30347e+0, 1.89756e+0, 1.30796e-2, 4.19408e+2, 3.34335e+0, 4.98167e+2, 8.16678e-1, 1.98780e+1, 1.10541e-3, 2.13351e+1, 1.77224e-2, 2.77523e+0, 8.80230e-4, 2.74977e+0, 5.43126e-4, 2.00000e+1, 0.00000e+0, 1.86000e+1, 3.13050e+0, 3, 1, 
08/05/2021 08:53:09.173, 08/05/2021 08:53:09.119, 4.16163e+0, 1.58218e-5, 9.84571e+1, 2.35443e-3, 1.84895e+0, 4.02288e-3, 1.49288e+4, 1.77754e+2, 4.06296e+2, 9.12643e-1, 1.87697e+0, 3.85011e-3, 4.12454e+2, 8.96611e-1, 4.98421e+2, 8.93333e-1, 1.98841e+1, 3.02628e-3, 2.13853e+1, 1.64428e-2, 2.77520e+0, 5.10924e-4, 2.74946e+0, 7.74076e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
